,Title in metadata,Bundle name,Pdf file,XML file
52,Zedlers fehlende Seiten: Digitale Quellenkritik und Analoge Erkenntnisse,186_final-M_LLER_Andreas_Zedlers_fehlende_Seiten__Digitale_Quellenkrit,186_final-M_LLER_Andreas_Zedlers_fehlende_Seiten__Digitale_Quellenkrit.pdf,186_final-M_LLER_Andreas_Zedlers_fehlende_Seiten__Digitale_Quellenkrit.xml
53,FormIt: Eine multimodale Arbeitsumgebung zur systematischen Erfassung literarischer Intertextualität,188_final-SCHLUPKOTHEN_Frederik_FormIt__Eine_multimodale_Arbeitsumgebu,188_final-SCHLUPKOTHEN_Frederik_FormIt__Eine_multimodale_Arbeitsumgebu.pdf,188_final-SCHLUPKOTHEN_Frederik_FormIt__Eine_multimodale_Arbeitsumgebu.xml
54,"Besucherexperimente im Science Center: Welche Einsichten in die Herstellung von Wissen in Interaktion werden erst durch die Zusammenschau von Audio-, Video- und Eye-Tracking-Daten möglich?",189_final-KESSELHEIM_Wolfgang_Besucherexperimente_im_Science_Center__W,189_final-KESSELHEIM_Wolfgang_Besucherexperimente_im_Science_Center__W.pdf,189_final-KESSELHEIM_Wolfgang_Besucherexperimente_im_Science_Center__W.xml
55,Herausforderungen für Thementhesauri und Sachregister-Vokabularien zur Erschließung im Kontext des digitalen Editionsprojekts Cisleithanische Ministerratsprotokolle,190_final-KURZ_Stephan_Herausforderungen_f_r_Thementhesauri_und_Sachre,190_final-KURZ_Stephan_Herausforderungen_f_r_Thementhesauri_und_Sachre.pdf,190_final-KURZ_Stephan_Herausforderungen_f_r_Thementhesauri_und_Sachre.xml
56,Korpuserstellung als literaturwissenschaftliche Aufgabe,191_final-GIUS_Evelyn_Korpuserstellung_als_literaturwissenschaftliche_,191_final-GIUS_Evelyn_Korpuserstellung_als_literaturwissenschaftliche_.pdf,191_final-GIUS_Evelyn_Korpuserstellung_als_literaturwissenschaftliche_.xml
57,text2ddc meets Literature - Ein Verfahren für die Analyse und Visualisierung thematischer Makrostrukturen,193_final-USLU_Tolga_text2ddc_meets_Literature___Ein_Verfahren_f_r_die,193_final-USLU_Tolga_text2ddc_meets_Literature___Ein_Verfahren_f_r_die.pdf,193_final-USLU_Tolga_text2ddc_meets_Literature___Ein_Verfahren_f_r_die.xml
58,Open Graph Space – Einsatz und Potenzial von Graphentechnologien in den digitalen Geisteswissenschaften,194_final-DIEHR_Franziska_Open_Graph_Space___Einsatz_und_Potenzial_von,194_final-DIEHR_Franziska_Open_Graph_Space___Einsatz_und_Potenzial_von.pdf,194_final-DIEHR_Franziska_Open_Graph_Space___Einsatz_und_Potenzial_von.xml
59,Gute Wörter für Delta: Verbesserung der Autorschaftsattribution durch autorspezifische distinktive Wörter,195_final-DIMPEL_Friedrich_Gute_W_rter_f_r_Delta__Verbesserung_der_Aut,195_final-DIMPEL_Friedrich_Gute_W_rter_f_r_Delta__Verbesserung_der_Aut.pdf,195_final-DIMPEL_Friedrich_Gute_W_rter_f_r_Delta__Verbesserung_der_Aut.xml
60,Leistungsfähige und einfache Suchen in lexikografischen Datennetzen Ein interaktiv-visueller Query Builder für Property-Graphen,196_final-MEYER_Peter_Leistungsf_hige_und_einfache_Suchen_in_lexikogra,196_final-MEYER_Peter_Leistungsf_hige_und_einfache_Suchen_in_lexikogra.pdf,196_final-MEYER_Peter_Leistungsf_hige_und_einfache_Suchen_in_lexikogra.xml
61,Die Generierung von Wortfeldern und ihre Nutzung als Findeheuristik. Ein Erfahrungsbericht zum Wortfeld „medizinisches Personal“,198_final-FRANKEN_Lina_Die_Generierung_von_Wortfeldern_und_ihre_Nutzun,198_final-FRANKEN_Lina_Die_Generierung_von_Wortfeldern_und_ihre_Nutzun.pdf,198_final-FRANKEN_Lina_Die_Generierung_von_Wortfeldern_und_ihre_Nutzun.xml
