,title,title from pdf,title from xml,pdf file,xml file
77,Die Impactomatrix – ein interaktiver Katalog für Impactfaktoren und Erfolgskriterien für digitale Infrastrukuren in den Geisteswissenschaften,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Die Impactomatrix –ein inter,Die Impactomatrix – ein interaktiver Katalog für Impactfaktoren und Erfolgskriterien für digitale Infrastrukuren in den Geisteswissenschaften,conferences\DHd2017\pdf\vortrag-THODE.pdf,conferences\DHd2017\xml\vortrag-THODE.xml
78,"Netzwerkdynamik, Plotanalyse – Zur Visualisierung und Berechnung der ›progressiven Strukturierung‹ literarischer Texte","Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Netzwerkdynamik,Plotanalyse ","Netzwerkdynamik, Plotanalyse – Zur Visualisierung und Berechnung der ›progressiven Strukturierung‹ literarischer Texte",conferences\DHd2017\pdf\vortrag-TRILC.pdf,conferences\DHd2017\xml\vortrag-TRILC.xml
79,"„Quellen aus der Schweiz für die Welt: jederzeit, überall, für alle“ – Neue Kooperationen der NB im digitalen Zeitalter",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017„Quellen aus der Schweizfür ,"„Quellen aus der Schweiz für die Welt: jederzeit, überall, für alle“ – Neue Kooperationen der NB im digitalen Zeitalter",conferences\DHd2017\pdf\vortrag-VONWA.pdf,conferences\DHd2017\xml\vortrag-VONWA.xml
80,Ambige idiomatische Ausdrücke in kinderliterarischen Texten: Mehrwert einer Datenbankanalyse,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Ambige idiomatischeAusdrücke,Ambige idiomatische Ausdrücke in kinderliterarischen Texten: Mehrwert einer Datenbankanalyse,conferences\DHd2017\pdf\vortrag-WAGNE.pdf,conferences\DHd2017\xml\vortrag-WAGNE.xml
81,Perspektiven der Benutzeraktionsanalyse im Kontext der Evaluation von Forschungspraktiken in den Digital Humanities,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Perspektiven derBenutzerakti,"
",conferences\DHd2017\pdf\vortrag-WALKO.pdf,conferences\DHd2017\xml\vortrag-WALKO.xml
82,Zur polykubistischen Informationsvisualisierung von Biographiedaten,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Zur polykubistischenInformat,Zur polykubistischen Informationsvisualisierung von Biographiedaten,conferences\DHd2017\pdf\vortrag-WINDH.pdf,conferences\DHd2017\xml\vortrag-WINDH.xml
83,Entwicklung und Einrichtung einer digitalen Arbeitsumgebung für die Jeremias Gotthelf-Edition. Ein Erfahrungsbericht,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Entwicklung undEinrichtung e,Entwicklung und Einrichtung einer digitalen Arbeitsumgebung für die ,conferences\DHd2017\pdf\vortrag-ZIHLM.pdf,conferences\DHd2017\xml\vortrag-ZIHLM.xml
84,"Daten sammeln, modellieren und durchsuchen mit DARIAH-DE","Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Daten sammeln, modellierenun","Daten sammeln, modellieren und durchsuchen mit DARIAH-DE ",conferences\DHd2017\pdf\workshop-GRADL.pdf,conferences\DHd2017\xml\workshop-GRADL.xml
85,"open your data, open your code: Offene Lizenzierung für geisteswissenschaftliche Projekte","Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017open your data, open yourcod","open your data, open your code: Offene Lizenzierung für geisteswissenschaftliche Projekte",conferences\DHd2017\pdf\workshop-HANNE.pdf,conferences\DHd2017\xml\workshop-HANNE.xml
86,Dokumente segmentieren und Handschriften erkennen: Arbeiten mit der Plattform Transkribus,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Dokumente segmentierenund Ha,Dokumente segmentieren und Handschriften erkennen: Arbeiten mit der Plattform Transkribus,conferences\DHd2017\pdf\workshop-HODEL.pdf,conferences\DHd2017\xml\workshop-HODEL.xml
87,Einführung in das PANDORA Linked Open Data Framework.,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Einführung in dasPANDORA Lin,Einführung in das PANDORA Linked Open Data Framework.,conferences\DHd2017\pdf\workshop-JOHNS.pdf,conferences\DHd2017\xml\workshop-JOHNS.xml
88,HowTo build a your own »Digital Edition Web-App«,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017HowTo build a your own»Digit,HowTo build a your own »Digital Edition Web-App«,conferences\DHd2017\pdf\workshop-KAMPK.pdf,conferences\DHd2017\xml\workshop-KAMPK.xml
89,Annotieren und Publizieren mit DARIAH-DE und TextGrid,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Annotieren und Publizierenmi,Annotieren und Publizieren mit DARIAH-DE und TextGrid,conferences\DHd2017\pdf\workshop-KOLLA.pdf,conferences\DHd2017\xml\workshop-KOLLA.xml
90,"Nachhaltiges Management von Bildmetadaten mit XMP, exiftool und Fotostation",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Nachhaltiges Managementvon B,"Nachhaltiges Management von Bildmetadaten mit XMP, exiftool und Fotostation",conferences\DHd2017\pdf\workshop-POHLO.pdf,conferences\DHd2017\xml\workshop-POHLO.xml
91,CUTE: CRETA Unshared Task zu Entitätenreferenzen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017CUTE: CRETA UnsharedTask zu ,CUTE: CRETA Unshared Task zu Entitätenreferenzen,conferences\DHd2017\pdf\workshop-REITE.pdf,conferences\DHd2017\xml\workshop-REITE.xml
