,title,title from pdf,title from xml,pdf file,xml file
84,Wie verhalten sich Aktionäre bei Unternehmenszusammenschlüssen? Modellierung sprachlicher Muster zur Analyse treibender Faktoren bei der Berichterstattung,,Wie verhalten sich Aktionäre bei Unternehmenszusammenschlüssen? Modellierung sprachlicher Muster zur Analyse treibender Faktoren bei der Berichterstattung,conferences\DHd2016_neu\pdf\posters-078.pdf,conferences\DHd2016_neu\xml\posters-078.xml
85,RuCoCo: Automatische Koreferenzannotationen für Russisch,,RuCoCo: Automatische Koreferenzannotationen für Russisch,conferences\DHd2016_neu\pdf\posters-079.pdf,conferences\DHd2016_neu\xml\posters-079.xml
86,Argumentanalyse in digitalen Textkorpora,,Argumentanalyse in digitalen Textkorpora,conferences\DHd2016_neu\pdf\sektionen-001.pdf,conferences\DHd2016_neu\xml\sektionen-001.xml
87,"""Delta"" in der stilometrischen Autorschaftsattribution",,"""Delta"" in der stilometrischen Autorschaftsattribution",conferences\DHd2016_neu\pdf\sektionen-002.pdf,conferences\DHd2016_neu\xml\sektionen-002.xml
88,Arthistory’s Next Topmodel? Der Trend zur Ontologie,,Arthistory’s Next Topmodel? Der Trend zur Ontologie,conferences\DHd2016_neu\pdf\sektionen-003.pdf,conferences\DHd2016_neu\xml\sektionen-003.xml
89,"Mobile Anwendungen als multimodale Medien zur Vermittlung vormoderner Artefakte. Die ,Historisches Paderborn‘-App – ein interdisziplinäres Forschungs- und Lehrprojekt",,"Mobile Anwendungen als multimodale Medien zur Vermittlung vormoderner Artefakte. Die ,Historisches Paderborn‘-App – ein interdisziplinäres Forschungs- und Lehrprojekt",conferences\DHd2016_neu\pdf\sektionen-004.pdf,conferences\DHd2016_neu\xml\sektionen-004.xml
90,Transbiblionome Daten in der Literaturwissenschaft. Texttechnologische Erschließung und digitale Visualisierung intertextueller Beziehungen digitaler Korpora,,Transbiblionome Daten in der Literaturwissenschaft. Texttechnologische Erschließung und digitale Visualisierung intertextueller Beziehungen digitaler Korpora,conferences\DHd2016_neu\pdf\sektionen-005.pdf,conferences\DHd2016_neu\xml\sektionen-005.xml
91,"Editionsphilologie zwischen Bibliothek, Archiv und Fachwissenschaft: Der standardisierte Open-Source-Workflow der digitalen Edition der Korrespondenz August Wilhelm Schlegels",,,conferences\DHd2016_neu\pdf\vortraege-001.pdf,conferences\DHd2016_neu\xml\vortraege-001.xml
92,Pattern Mining in Keilschriftzeichnungen,,Pattern Mining in Keilschriftzeichnungen,conferences\DHd2016_neu\pdf\vortraege-002.pdf,conferences\DHd2016_neu\xml\vortraege-002.xml
93,Algorithmische Visualisierungen: Ausdruck von Routinen und Denkstilen in den Digital Humanities,,Algorithmische Visualisierungen: Ausdruck von Routinen und Denkstilen in den Digital Humanities,conferences\DHd2016_neu\pdf\vortraege-003.pdf,conferences\DHd2016_neu\xml\vortraege-003.xml
